CASEID,ORDER,PRIEST,POSITION,PRIMARY,PAID,AREA,SPADMIN,SPCHILD,SPCOMM,SPFAMILY,SPMEDIA,SPMUSIC,SPOUT,SPCARE,SPPREACH,SPPSYCH,SPRELED,SPSPIRIT,SPTECH,SPVOLCOR,SPWORLEAD,SPWORTECH,SPYADULT,SPYOUTH,SPOTHER,GENLEAD,YEARLEAD,STFPREV,YEARSTF,MBRPREV,TIMESERV,DIFFOCC,HRCONG,SERVOTH,HROTHCNG,CHAPLAIN,CHAPUNI,CHAPHOSP,CHAPNURS,CHAPJAIL,CHAPPOL,CHAPOTH,HRCHAP,OTHERJOB,HROTHJOB,HRTOTAL,PREACH,CLASS,VISIT,COUNSEL,COTHCONG,CDEN,COTHDEN,CNONPRFT,CPUBSCHL,CPRVSCHL,CCOLLEGE,CSEM,CBIZ,CHOSP,CGOV,CADVOC,WORKSAT,LVCNGWRK,LVRELWRK,GOD,DOUBT,POSTLIFE,HEAVEN,HELL,MIRAHEAL,PROSPER,REINCAR,ASTROL,RESURECT,ADAMEVE,BIBLE,GRACE,PRAYSOLO,ALLTRUE,MINEBEST,CONVERT,NOFRIEND,LDRWOMEN,ORIENT,GAYMARRY,MIHELP,MIHELP2,MIPSYCH,MISERM,MIPRAY,MICLASS,MILEARN,SERIOUS,CHEM,GENES,TRAUMA,DEMON,NOSUPP,NOFAITH,STRESS,SEEKHELP,TAKEMEDS,RELIGACT,DISASTRO,DISCLIMA,DISENVIR,DISEVOLU,DISPSYCH,DISPOLLS,DISSTEM,DISVAX,DISMED,DISOTH,SIXDAYS,YNGEARTH,CREMIRAC,EVOLVED,GODEVOLV,LAWEVOLV,EVNOGOD,CLIMCHNG,SCICONFL,SCIRELIG,RELICHNG,SCIHOSTL,RESCHAR,RESFORGV,RESHMBL,RESGRAT,RESGENER,RESCNTL,RESPRAY,RESDISC,VSTDYING,VSTOFTN,ALLOWDIE,EUTHA,HOPEMIRA,PALIATIVE,PARTYID7,POLVIEWS,POLGROUP,TOOKSTND,PRAYISSUE,URGEVOTE,URGEACT,LOBBIED,PROTEST,ACTABORT,ACTCAPUN,ACTECON,ACTEDUC,ACTENVIR,ACTFORGN,ACTLGBT,ACTGUN,ACTHEAL,ACTHUNGR,ACTIMM,ACTPOLIC,ACTRACE,ACTOTH,ENDORSE,TAXENDRS,POLCOMP,VOTE,VOTEWHO,INFOBOOK,INFOZINE,INFOWEB,INFOPOD,INFOSOC,GENDER,RACE,YEARBORN,WHEREBRN,EDUC,ATSEM,MARSTAT,ROMRELAT,NUMKID,HEALTH,CAREDFOR,LACKINT,DEPRESS,HAPPY,SATLIFE,LIFEGOOD,BMI,BMICAT,CONGSAL,CONGLIVE,OTHINC,OTHAMT,HHINCOME,STULOAN,LOANAMT,FINSATIS,CHALWELL,CHALTECH,CHALRACE,CHALLGBT,CHALLEAD,CHALGEN,CHALCASH,CHALFEM,CHALFACIL,CHALDENOM,CHALCOMIT,CHALOTH,cong_region,cong_size,cong_trad,cong_race,DURATION,SURVEYDATE,SURVEYYEAR,COVID,MODE_NSRL,WT_NSRL_ALL_IGN,WT_NSRL_ALL_DUP,WT_NSRL_ALL_ATTENDEE,WT_NSRL_PRIMARY_IGN,WT_NSRL_PRIMARY_DUP,WT_NSRL_PRIMARY_ATTENDEE,WT_NSRL_NONP_IGN,WT_NSRL_NONP_DUP,WT_NSRL_NONP_ATTENDEE
435, , ,10,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2, ,0, , ,5,1,5,1,40,2, ,2, , , , , , , ,2, ,40,1,5,2,2,2,2,2,1,1, ,2,2,2, ,1,1,4,1,1,1,1,5,1,4,5,2,1,1,5,2,3,4,6,1,2,2,1,7,4,6,1,3,3,1,1,2,2,4,4,3,2,1,2,1,3,4,4,3,1,2,2,1,2,2,2,3,2, ,1,1,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,4,1,3,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,2,1, ,2,1,5,1,1,5,4,5,2,1,2,3,4,2,4,1,2, ,1,1,4,1,1,5,6,6,39.3197190426639,4,5,2,1,12,13,1,1,3, , , , , , , , , , , , ,1,4,2,5,40.6,2/25/2019,2019,2,1,2.77528697661259,2.75640096655115,2.64017158922475,0,0,0,2.84784548590358,2.75499448863711,1.61765789054165
436,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,5,2, ,2,31,1,49,1,49,1,2,1,2,2,2,2,2,2, ,96,8,1,8,8,1,1,2,2,1,1,2,2,2,1,2,2,4,1,1,1,1,5,5,5,5,5,1,1,5,5,2,6,5,5,7,1,7,7,7,1,2,1,2,1,1,1,1,3,3,2,4,3,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1, ,3,1,5,1,1,1,1,1,1,4,1,7,2,1,1,1,1,1,1,1,2,1,1,1,4,4,4,5,1,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2, ,2,2,5,6,4,6,6,1,1,4,4,2,4,2,1,2,0,2,5,1,1,6,6,7,30.8935546875,4,5,1,1, ,5,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,1, ,5/6/2020,2020,1,2,.111687324107157,.110033897333002,.225445942842125,.109462450023571,.11007872890119,.454762530910631,0,0,0
437,2,0,4,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,0, , ,4,2,30,1,45,2, ,2, , , , , , , ,1,15,60,1,8,3,5,1,1,2,1,2,1,1,2,2,2,2,2,4,3,3,1,2,5,5,5,5,1,1,1,5,1,3,6,5,6,4,1,1,4,4,6,1,4,3,1,1,1,3,3,3,3,3,1,3,3,3,3,2,3,5,3,3,5,5,5,3,1,3, ,1,1,3,4,5,1,1,2,1,2,3,2,1,3,2,1,3,3,3,1,1,3,5,1,2,2,5,5,1,2,1,3,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2, ,2,1,2,1,4,6,6,6,5,5,1,1,4,1,4,1,2, ,1,3,4,2,2,5,5,5,52.7678738975418,4,6,2,1,1,8,1,7,1,0,0,0,0,0,1,0,0,0,1,0,0,2,4,1,1,30,2/11/2019,2019,2,1,.294306166954516,.306303715856119,.634254053470552,0,0,0,.302000656543996,.30614742168246,.388613406186198
438, , ,5,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1, ,0, , ,5,2,14,2,60,2, ,2, , , , , , , ,2, ,60,5,8,3,8,1,1,1,1,2,2,2,2,2,2,2,2,4,1,2,1,1,5,5,5,2,1,1,1,5,2,3,6,2,5,4,3,1,7,7,4,1,3,4,1,1,1,4,4,4,2,3,1,4,1,4,4,4,2,2,4,5,5,4,5,1,1,1, ,2,1,4,4,4,2,1,1,1,3,4,5,1,1,1,1,1,1,1,1,2,1,5,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5,4,1,18,3/3/2019,2019,2,1,.0630343293341347,.0629137169045514,.410673934331036,0,0,0,.0646823307873843,.0628816146253873,.251623770599491
439, , ,3,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,1, ,0, , ,5,2,22,2,60,2, ,2, , , , , , , ,1,7,67,8,8,4,5,1,1,2,2,1,2,1,1,1,2,2,1,3,3,2,1,2,4,4,1,4,1,2,3,4,1,3,5,4,5,4,1,1,7,7,5,1,2,4,3,2,1,4,4,4,4,3,1,3,1,3,4,4,2,3,5,3,2,3,4,1,2,2, ,1,1,1,5,5,2,1,1,1,2,3,2,1,1,1,1,1,2,1,1,1,2,7,7,1,3,2,2,3,3,3,2,2,3,3,2,1,1,2,1,1,1,1,1,1,1,1,1, ,2,1,4,1,1,5,5,6,4,6,1,1,5,1,5, ,2, ,2,2,4,2,2,4,4,6,29.4112244897959,3,8,2,1,1,9,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,5,4,1,23.9,3/6/2019,2019,2,1,.0630343293341347,.0629137169045514,.410673934331036,0,0,0,.0646823307873843,.0628816146253873,.251623770599491
440, , ,6,2,1,2, , , , , , , , , , , , , , , , , , , ,0, , ,5,2,14,2,55,2, ,2, , , , , , , ,2, ,55,7,8,6,6,1,1,1,1,1,2,2,2,1,2,1,1,4,2,2,1,2,4,4,2,3,1,2,1,4,2,3,4,6,4,1,1,1,7,7,5,1,3,3,3,1,2,3,4,4,4,4,1,4,1,4,4,4,4,1,3,1,3,3,3,1,2,1, ,1,1,2,4,3,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,7,7,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1, ,2,2,4,1,1,6,3,6,3,6,1,1,6,1,5, ,2, ,2,3,2,1,1,5,5,5,28.9808163265306,3,7,2,2,0,9,2,0,3,0,0,0,0,0,1,1,0,1,0,0,0,3,5,4,1,24,3/14/2019,2019,2,1,.0630343293341347,.0629137169045514,.410673934331036,0,0,0,.0646823307873843,.0628816146253873,.251623770599491
441, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,3,2, ,2,39,2,50,2, ,2, , , , , , , ,2, ,50,7,7,7,7,1,1,2,1,1,2,1,1,2,2,2,1,4,1,1,2,2,5,5,1,4,1,2,1,4,2,3,5,5,6,3,2,1,7,7,5,1,2,3,2,1,2,3,3,3,3,3,1,3,2,3,4,4,4,1,2,1,1,3,3,2,1,1, ,1,1,3,4,4,4,3,1,1,3,3,2,1,1,1,1,1,1,1,1,1,4,7,6,2,3,2,2,3,3,3,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,1, ,2,3,4,1,1,4,4,5,4,5,1,1,3,1,5, ,2, ,1,2,4,1,1,5,5,6,26.3839369487709,3,10,2,1,1,13,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,5,4,1,28.3,9/16/2019,2019,2,1,.0228987181465067,.0241358239865476,.186030094549871,.0224425628490388,.024145657745644,.375254109949923,0,0,0
442, , ,4,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0, , ,5,2,7,1,15,2, ,2, , , , , , , ,2, ,15,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,4,5,5,3,3,4,1,5,5,3,1,5,1,1,1,1,1,1,7,7,6,2,1,5,1,1,1,3,4,4,3,2,1,3,3,4,4,4,3,1,1,1,1,1,1,1,1,1, ,1,1,1,4,4,2,3,1,1,1,2,4,2,2,2,2,2,2,2,2,2,1,6,6,2,1,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,3,3,2,5,3,4,3,1,3,2,1,6,1,1,2,2, ,3,3,3,1,1,4,3,2,40.6059651333753,4,1,2,2,0,7,2,0,1, , , , , , , , , , , , ,3,5,4,1,31.2,2/28/2019,2019,2,1,.0630343293341347,.0629137169045514,.410673934331036,0,0,0,.0646823307873843,.0628816146253873,.251623770599491
443,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,4,2, ,2,27,2,80,2, ,2, , , , , , , ,2, ,80,8,7,7,7,2,2,2,1,1,1,2,2,2,1,2,2,3,2,1,1,1,5,5,5,5,2,1,1,5,5,2,5,6,3,6,5,3,3,1,1,2,1,2,2,1,1,1,3,2,2,4,1,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1, ,4,1,5,2,5,5,1,1,4,4,2,6,1,1,1,1,1,1,1,1,1,4,4,2,4,3,7,6,1,2,2,3,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1, ,2,4,1,1,2,4,3,6,1,1,1,2,4,1,5, ,1,2,0,3,2,2,2,4,4,6,24.3635790800252,2,6,1,2,0, ,1,4,2, , , , , , , , , , , , ,3,5,1,1, ,6/17/2019,2019,2,3,.0743200576366326,.0732198184274342,.294679031712387,.0728395604410181,.0732496506824218,.594417360447521,0,0,0
444,2,0,4,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2, ,0, , ,4,1,14,1,30,2, ,2, , , , , , , ,2, ,30,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,1,1,5,5,5,5,1,1,2,5,5,2,2,4,1,4,4,2,2,2,6,2,1,2,1,1,1,1,4,3,3,3,1,3,2,3,4,4,4,1,1,1,1,1,1,1,1,1, ,1,3,5,1,1,1,1,1,2,2,1,2,3,3,3,3,3,3,3, ,2,1,6,1,4,4,4,5,1,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,1,3,1,4,2,2,2,2,1,2,1,4,1,2,2,2, ,0,4,4,1,1,5,5,7,35.8449531737773,4, ,2,1,1, ,2,0,3, , , , , , , , , , , , ,3,5,1,1,57.2,2/21/2019,2019,2,1,.195840051373157,.203823576209064,.829029646664528,0,0,0,.200960192932158,.203719573430884,.507954238615837
445, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,3,2, ,2,43,2,44,2, ,2, , , , , , , ,2, ,44,8,8,8,7,1,1,1,1,2,2,1,1,1,1,2,1,4,2,1,2,2,5,5,4,4,1,1,1,5,2,3,6,5,5,5,4,5,7,4,4,1,2,3,1,1,2,2,4,4,3,4,1,3,1,4,4,4,3,1,4,2,2,2,3,1,2,1, ,1,1,3,4,5,1,1,1,2,2,3,1,1,1,1,1,1,3,1,1,1,5,5,1,2,2,2,3,2,3,2,2,1,1,1,2,2,1,1,1,2,2,1,2,1,1,2,1, ,2,2,4,1,1,5,5,6,2,2,1,1,3,1,5, ,2, ,0,2,5,1,1,5,5,7,31.6566157508431,4,8,2,1,1,9,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,1,24.3,2/13/2019,2019,2,1,.141248953086548,.151236093859257,.214950044298179,.13843519478794,.151297712609648,.4335905314244,0,0,0
446, , ,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1, ,1, , ,4,2,30,2,48,2, ,2, , , , , , , ,2, ,48,3,7,5,3,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,5,5,2,3,1,2,1,5,2,3,2,4,6,6,2,1,7,7,5,1,2,2,1,1,1,1,4,4,2,3,1,4,1,4,4,4,3,1,1,2,1,2,1,1,1,1, ,1,1,4,4,5,2,1,1,2,3,3,4,1,3,2,1,2,1,1,2,1,3,7,5,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1, ,2,2,5,1,1,2,4,4,1,2,1,1,4,1,5, ,2, ,0,4,5,2,2,4,4,2,44.3671111111111,4,7,2,1,1,9,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,4,2,1,77,2/11/2019,2019,2,1,.634701669271985,.630382482747169,.625891378749584,0,0,0,.65129563139373,.630060824523224,.3834895169649
447, , ,4,2,1,2, , , , , , , , , , , , , , , , , , , ,0, , ,5,2,21,1,10,2, ,2, , , , , , , ,1,8,38,3,8,6,6,1,1,2,1,2,2,1,1,2,2,2,2,3,3,3,1,2,5,3,2,3,1,4,3,2,1,3,2,5,5,3,1,2,7,7,5,1,2,2,1,1,1,3,3,3,3,3,1,4,2,4,4,4,3,2,3,2,3,1,3,1,2,2, ,1,1,1,2,4,3,2,1,1,1,2,4,1,1,1,1,1,2,1,1,1,3,6,7,1,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1, ,2,2,4,1,1,4,4,4,1,1,1,1,5,1,5, ,1,1,0,2,4,4,3,4,4,3,27.1219135802469,3,7,2,1,1, ,1,7,2,0,0,0,0,0,0,0,0,0,0,1,0,3,5,4,1,21.4,2/26/2019,2019,2,1,.0579915829874039,.0578806195521873,.410673934331036,0,0,0,.0595077443243935,.0578510854553563,.251623770599491
448, , ,14,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2, ,0, , ,5,1,8,1,46,2, ,2, , , , , , , ,2, ,46,2,8,7,7,1,1,1,1,1,2,1,1,1,1,2,1,3,1,2,2,2,3,3,2,4,1,3,3,3,1,3,5,3,6,1,2,1,7,7,5,1,2,2,1,1,1,3,3,4,4,3,1,3,1,4,4,4,2,1,1,3,2,5,3,2,3,4, ,1,1,2,4,3,4,2,1,1,1,4,2,1,2,2,1,1,1,1,1,1,3,7,6,1,3,3,2,3,1,3,3,2,1,1,2,2,1,1,1,2,1,1,1,2,1,2,1, ,2,2,4,1,1,6,4,5,4,2,2,1,5,1,5, ,3,2,3,2,4,2,2,5,6,6,26.2897041420118,3,7,2,2,0,7,2,0,1, , , , , , , , , , , , ,3,5,4,1,26.4,2/19/2019,2019,2,1,.0579915829874039,.0578806195521873,.410673934331036,0,0,0,.0595077443243935,.0578510854553563,.251623770599491
449, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,5,2, ,2,24,2,60,2, ,2, , , , , , , ,2, ,60,7,5,6,5,1,1,1,1,2,2,1,1,1,2,2,2,4,1,1,2,3,4,4,3,3,1,2,1,3,1,3,4,3,6,2,1,1,7,7,5,1,3,3,1,1,1,2,3,4,4,2,1,3,1,4,4,4,1,1,3,1,1,3,4,1,1,2, ,1,1,4,5,5,3,2,1,4,4,3,2,1,1,1,1,1,3,1,1,1,3,7,6,1,2,1,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2, ,2,1,4,1,1,5,4,6,5,5,1,1,4,1,5, ,2, ,4,2,5,1,1,5,5,6,25.3940816326531,3,11,2,1,1,13,2,0,3, , , , , , , , , , , , ,3,5,4,1,54.1,9/5/2019,2019,2,2,.0210668206947861,.0222049580676238,.186030094549871,.0206471578211157,.0222140051259925,.375254109949923,0,0,0
450, , ,6,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2, ,0, , ,5,2,9,1,50,2, ,2, , , , , , , ,2, ,50,5,8,7,8,1,1,1,1,1,2,1,1,1,2,2,1,3,2,2,1,2,4,4,2,3,1,3,3,3,1,3,4,3,6,1,1,1,7,7,5,1,4,4,1,2,1,3,3,3,3,3,1,3,1,3,4,4,2,1,3,3,1,2,3,1,1,1, ,1,1,1,5,3,4,2,1,1,2,2,3,1,1,2,1,1,2,1,1,1,3,7,7,2,2,3,2,3,3,3,3,3,3,3,2,2,2,1,2,2,1,1,1,2,1,2,1, ,2,3,3,1,1,5,2,5,4,5,2,1,6,1,5, ,1,2,0,4,3,1,1,5,4,3,38.616943359375,4,7,2,1,1,7,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,3,5,4,1,68.2,7/5/2019,2019,2,1,.0579915829874039,.0578806195521873,.410673934331036,0,0,0,.0595077443243935,.0578510854553563,.251623770599491
451, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,4,2, ,2,45,2,50,2, ,2, , , , , , , ,2, ,50,6,4,1,6,1,2,2,1,2,1,1,2,1,2,2,1,4,1,1,1,1,5,5,5,5,2,1,1,5,5,1,5,5,1,7,7,1,6,1,1,1,5,5,3,3,3,5,4,4,4,4,2,4,2,4,4,4,4,2,2,3,2,5,5,1,1,3, ,4,3,5,1,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,2,6,3,4,1,4,5,1,3,3,1,1,1,1,1,2,2,1,2,2,1,2,2,1,2,2,1, ,2,2,3,1,2,3,4,6,4,2,1,1,3,1,4,2,2, ,0,2,5,1,1,5,6,7,27.8912914104344,3, ,2,1, , ,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,5,2,5,28.5,10/11/2019,2019,2,1,.0715417540630128,.0766001814236466,1.28083433073964,.0701166022314913,.0766313909539814,2.58365910063094,0,0,0
452, , ,2,2,1,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1, , ,4,1,21,1,40,2, ,2, , , , , , , ,1,4,44,3,7,7,8,1,2,1,1,1,1,2,2,1,1,1,1,4,3,3,1,1,5,5,5,5,3,1,1,5,4,2,6,6,1,7,7,2,3,1,1,1,2,3,1,1,1,1,3,3,3,3,1,2,2,4,4,3,4,1,1,2,2,2,3,2,1,3, ,4,4,5,1,2,1,1,4,2,3,2,5,1,2,2,3,1,3,1,1,1,4,7,1,3,3,7,6,1,2,2,3,2,3,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,4,2,1,2,2,2,3,4,4,1,1,4,1,3,2,2, ,3,2,3,1,1,6,5,6,21.6975308641975,2,8,2,1,1,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,5,2,5,42.3,8/2/2019,2019,2,1,.321472617914678,.319284975646481,3.7295324494298,0,0,0,.329877360966596,.319122057670475,2.28511950491171
453, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,2,2, ,2,37,1,60,2, ,2, , , , , , , ,2, ,60,6,5,6,5,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,5,5,5,5,1,1,1,5,5,2,5,5,1,7,7,1,7,5,1,2,1,3,1,1,1,1,4,3,1,4,1,3,2,4,4,4,4,1,1,1,3,1,1,1,1,1, ,2,2,5,1,1,1,1,2,1,1,1,5,2,1,1,1,1,1,1,1,1,3,7,1,3,3,6,6,1,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,3,3,1,4,5,1,1,1,1,1,1,1,1,5, ,2, ,0,2,5,1,1,5,5,6,31.7960722078953,4,8,2,2,0,11,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,3,4,1, ,10/4/2019,2019,2,3,.35640047033542,.375655046090463,.377662377183618,.349300773246552,.375808100787442,.761808779136104,0,0,0
454, , ,14,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1, ,0, , ,5,2,8,2,50,2, ,2, , , , , , , ,1,10,60,2,8,3,7,1,2,2,1,2,2,2,2,1,2,2,2,2,1,3,1,2,5,5,5,4,2,4,1,5,2,2,4,5,1,7,3,1,4,1,2,1,4,3,1,2,1,2,2,3,3,3,2,3,3,3,4,3,4,3,2,3,2,4,1,1,1,1, ,2,3,5,1,2,2,2,2,1,1,1,6,1,1,2,2,2,1,1,1,2,1,7,1,2,4,5,5,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,3,1,2,6,2,4,1,2,1,1,6,1,3,2,1,2,0,4,3,2,2,5,2,1,35.8673469387755,4,5,2,1,1,5,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4,1,34.4,2/13/2019,2019,2,1,.981079573023636,.979202335775823,.833715075305896,0,0,0,1.00672941461275,.97870268914409,.510825044681327
455, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,5,2, ,2,19,1,50,2, ,2, , , , , , , ,2, ,50,8,8,7,3,1,1,1,1,2,2,2,2,2,2,1,1,4,2,2,1,1,5,5,4,5,2,1,2,5,5,3,5,6,2,6,4,1,7,5,2,1,2,2,2,2,3,4,4,4, , , , , ,4,4,4,2,1,1,1,1,1,1,1,1,1, ,3,4,4,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,1,4,7,3,2,3,5,5,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,3,1,2,4,4,4,2,1,2,1,3,1,5, ,2, ,0,3,4,1,1,5,5,4,32.8870572510581,4,7,1,1,1,8,1,5,3,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,1,39.1,2/11/2019,2019,2,1,.345091658363972,.36373527427208,.243785940988086,.338217239146811,.363883472446879,.491757403688597,0,0,0
456, , ,14,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,0, , ,4,1,17,1,45,2, ,2, , , , , , , ,2, ,45,3,8,3,1,1,1,2,1,1,2,2,2,2,2,2,2,4,1,2,1,1,5,5,5,5,3,3,2,5,5,2,6,6,1,7,7,4,7,1,6,2,1,2,1,1,1,2,4,4,4,4,1,3,2,4,4,4,2,1,1,1,3,3,1,1,2,3, ,5,5,5,1,1,1,1,3,3,1,1,4,2,1,1,1,1,1,1,1,2,1,7,4,1,1,5,7,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,3,3,1,2,3,2,3,1,2,2,1,5,1,2,1,2, ,1,3,5,1,1,6,6,6,31.8820861678005,4,6,2,1,1, ,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,3,4,1,51.8,2/12/2019,2019,2,1,.949949298672677,.948131627348112,.538173846346844,0,0,0,.974785254591673,.947647834819504,.329744162303387
457,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,5,2, ,2,28,1,40,2, ,2, , , , , , , ,2, ,15,8,7,8,8,1,1,2,1,1,1,2,2,1,2,1,1,4,1,1,1,1,5,5,5,5,2,1,1,5,5,2,6,6,4,4,4,4,1,1,4,1,2,2,1,1,1,1,4,3,2,2,1,3,2,4,4,4,3,2,1,1,1,2,2,1,1,1, ,2,2,2,2,2,4,1,2,2,3,3,4,3,3,3,3,3,3,3, ,1, ,2,1,3,3,5,6,3,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2, ,2,2,2,1,2,3,3,3,2,1,1,1,4,1,5, ,1,2,0,2,5,1,1,5,6,7,29.5316110060912,3,4,1,2,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,1, ,8/7/2019,2019,2,3,.192071637477163,.189228195837753,1.03849643294101,.188245462825464,.189305293868181,2.09482264454248,0,0,0
458,2,0,4,2,1, , , , , , , , , , , , , , , , , , , , ,0, , , ,2,5,1,50,2, ,2, , , , , , , ,1,15,65,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,1,1,5,5,5,5,3,1,1,5,5,2,6,6,1,7,6,1,1,1,6,1,2,4,1,1,1,1,4,3,3,4,2,2,2,4,4,4,4,1,1,1,1,1,1,1,1,1, ,5,3,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,4,1,4,5,1,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,3,3,1,4,6,5,5,4,2,1,1,4,1,4,2,2, ,0,2,4,3,3,2,2,2,25.0854238754325,3, ,2,1, , ,1, ,1, , , , , , , , , , , , ,1,5,1,1,14,2/13/2019,2019,2,1,.506126078840838,.526758580171358,2.92163417892508,0,0,0,.519358495561508,.526489796958019,1.79011265862538
459,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,2,1,1, ,1, , ,5,2,2,2,8,2, ,2, , , , , , , ,2, ,60,8,5,6,8,2,2,2,2,2,1,2,2,2,2,1,2,4,2,1,1,2,5,5,5,5,5,1,1,5,5,1,6,6,2,7,5,4,1,6,1,1,2,2,1,1,1,3,3,3,3,2,2,3,1,4,2,3,2,1,1,1,1,1,1,1,1,1, ,1,1,5,1,4,1,1,2,3,2,2,6,3,3,3,3,3,3,1,2,1,3,5,1,3,2,5,5,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,1,1,4,6,6,5,1,2,1,1,6,1,5, ,1,2,0,1,4,1,2,6,6,7,24.6588951900861,2,4,1,1,3,1,1,2,3, , , , , , , , , , , , ,1,5,1,1,26.5,2/11/2019,2019,2,1,.506126078840838,.526758580171358,2.92163417892508,0,0,0,.519358495561508,.526489796958019,1.79011265862538
